DAGS,MED
19.5.2014,20685.00
20.5.2014,20678.00
21.5.2014,20675.00
22.5.2014,20656.00
23.5.2014,20635.00
26.5.2014,20695.00
27.5.2014,20686.00
28.5.2014,20620.00
30.5.2014,20602.00
2.6.2014,20673.00
3.6.2014,20667.00
4.6.2014,20677.00
5.6.2014,20672.00
6.6.2014,20666.00
10.6.2014,20687.00
11.6.2014,20740.00
12.6.2014,20743.00
13.6.2014,20749.00
16.6.2014,20730.00
18.6.2014,20751.00
19.6.2014,20797.00
20.6.2014,20765.00
23.6.2014,20758.00
24.6.2014,20794.00
25.6.2014,20771.00
26.6.2014,20703.00
27.6.2014,20688.00
30.6.2014,20662.00
1.7.2014,20680.00
2.7.2014,20680.00
3.7.2014,20676.00
4.7.2014,20673.00
7.7.2014,20655.00
8.7.2014,20797.00
9.7.2014,20825.00
10.7.2014,20824.00
11.7.2014,20783.00
14.7.2014,20828.00
15.7.2014,20824.00
16.7.2014,20774.00
17.7.2014,20763.00
18.7.2014,20773.00
21.7.2014,20777.00
22.7.2014,20786.00
23.7.2014,20803.00
24.7.2014,20830.00
25.7.2014,20761.00
28.7.2014,20756.00
29.7.2014,20703.00
30.7.2014,20689.00
31.7.2014,20679.00
1.8.2014,20707.00
5.8.2014,20663.00
6.8.2014,20659.00
7.8.2014,20705.00
8.8.2014,20755.00
11.8.2014,20788.00
12.8.2014,20776.00
13.8.2014,20781.00
14.8.2014,20800.00
15.8.2014,20755.00
18.8.2014,20763.00
19.8.2014,20754.00
20.8.2014,20726.00
21.8.2014,20717.00
22.8.2014,20669.00
25.8.2014,20649.00
26.8.2014,20640.00
27.8.2014,20667.00
28.8.2014,20660.00
29.8.2014,20634.00
1.9.2014,20637.00
2.9.2014,20670.00
3.9.2014,20671.00
4.9.2014,20681.00
5.9.2014,20624.00
8.9.2014,20606.00
9.9.2014,20610.00
10.9.2014,20606.00
11.9.2014,20696.00
12.9.2014,20698.00
15.9.2014,20642.00
16.9.2014,20637.00
17.9.2014,20639.00
18.9.2014,20676.00
19.9.2014,20661.00
22.9.2014,20687.00
23.9.2014,20693.00
24.9.2014,20661.00
25.9.2014,20540.00
26.9.2014,20542.00
29.9.2014,20531.00
30.9.2014,20515.00
1.10.2014,20494.00
2.10.2014,20517.00
3.10.2014,20522.00
6.10.2014,20444.00
7.10.2014,20460.00
8.10.2014,20455.00
9.10.2014,20516.00
10.10.2014,20543.00
13.10.2014,20614.00
14.10.2014,20563.00
15.10.2014,20532.00
16.10.2014,20613.00
17.10.2014,20592.00
20.10.2014,20591.00
21.10.2014,20589.00
22.10.2014,20559.00
23.10.2014,20577.00
24.10.2014,20580.00
27.10.2014,20616.00
28.10.2014,20661.00
29.10.2014,20687.00
30.10.2014,20616.00
31.10.2014,20570.00
3.11.2014,20569.00
4.11.2014,20607.00
5.11.2014,20624.00
6.11.2014,20742.00
7.11.2014,20696.00
10.11.2014,20731.00
11.11.2014,20749.00
12.11.2014,20748.00
13.11.2014,20770.00
14.11.2014,20821.00
17.11.2014,20797.00
18.11.2014,20764.00
19.11.2014,20769.00
20.11.2014,20724.00
21.11.2014,20644.00
24.11.2014,20707.00
25.11.2014,20744.00
26.11.2014,20706.00
27.11.2014,20713.00
28.11.2014,20708.00
1.12.2014,20697.00
2.12.2014,20676.00
3.12.2014,20627.00
4.12.2014,20630.00
5.12.2014,20603.00
8.12.2014,20635.00
9.12.2014,20649.00
10.12.2014,20647.00
11.12.2014,20672.00
12.12.2014,20694.00
15.12.2014,20701.00
16.12.2014,20716.00
17.12.2014,20842.00
18.12.2014,20843.00
19.12.2014,20861.00
22.12.2014,20843.00
23.12.2014,20797.00
29.12.2014,20796.00
30.12.2014,20762.00
31.12.2014,20721.00
2.1.2015,20726.00
5.1.2015,20703.00
6.1.2015,20709.00
7.1.2015,20727.00
8.1.2015,20679.00
9.1.2015,20676.00
12.1.2015,20684.00
13.1.2015,20683.00
14.1.2015,20628.00
15.1.2015,20619.00
16.1.2015,20584.00
19.1.2015,20566.00
20.1.2015,20569.00
21.1.2015,20543.00
22.1.2015,20570.00
